tweet_id,text,label,clean_text
42015,@ aimim _ national @ asadowaisi Sale khud ko secular kheta hai aur apni party ka nam communal rakhta hai Vende matram … https // t co / gcEA8k4tK4,2,@ aimim _ national @ asadowaisi Sale khud ko secular kheta hai aur apni party ka nam communal rakhta hai Vende matram … // t co / gcEA8k4tK4
17186,@ MaryamNSharif She is obssessed with him .... uss ke siwa koi yaad nahi,1,@ MaryamNSharif She is obssessed with him .... uss ke siwa koi yaad nahi
19567,@ AmitShah hamare Priya Amit Bhaikripa karke aap aise hi dabang bane rahna . Hope you will always be accessible as you were . Chanakya Ko Pranam,2,@ AmitShah hamare Priya Amit Bhaikripa karke aap aise hi dabang bane rahna . Hope you will always be accessible as you were . Chanakya Ko Pranam
16463,Desh ke sabhi 10 karore Rajputo ne BJP ko vote nhi But Th . Shri Rajnath Singh ji ko uchit pad na de kar sabhi Rajp … https // t . co / 8sLq37QyF7,0,Desh ke sabhi 10 karore Rajputo ne BJP ko vote nhi But Th . Shri Rajnath Singh ji ko uchit pad na de kar sabhi Rajp … // t . co / 8sLq37QyF7
22660,Agar gandhi ji nahi hote is pushpendra kulshrestha ka pushp phat ker kul kul hochuka hota britishers ke haatho https // t . co / NsgWPCMkyo,1,Agar gandhi ji nahi hote is pushpendra kulshrestha ka pushp phat ker kul kul hochuka hota britishers ke haatho // t . co / NsgWPCMkyo
3270,Point to be notice is Department of space is under Modi ji . Khoob jamega rang Jab mil baithenge 3 yaar Modi cloud … https // t . co / TkIBwEMDMF,2,Point to be notice is Department of space is under Modi ji . Khoob jamega rang Jab mil baithenge 3 yaar Modi cloud … // t . co / TkIBwEMDMF
5194,Eid tk 5k yes karao 🌚🌚🌚🌝🌝😂😂 @ shahrukhsyed4 @ iamqfs @ ImlazyAf _ @ Bawkamaal My favourities 😌🌚😂❤,1,Eid tk 5k yes karao 🌚🌚🌚🌝🌝😂😂 @ shahrukhsyed4 @ iamqfs @ ImlazyAf _ @ Bawkamaal My favourities 😌🌚😂❤
35660,@ RahulGandhi Good morning ! Kahete hai jaha aap sab se jayada kamjor ho vahi se aap saruaat karo aur eise jito … https // t co / H10kVQxm5x,2,@ RahulGandhi Good morning ! Kahete hai jaha aap sab se jayada kamjor ho vahi se aap saruaat karo aur eise jito … // t co / H10kVQxm5x
13360,@ dsmithun _ miths @ Mohapb204 @ ndtv Madam ko itni samajh Kahan hogi she is just typing nonsense based on some fake news 😋,0,@ dsmithun _ miths @ Mohapb204 @ ndtv Madam ko itni samajh Kahan hogi she is just typing nonsense based on some fake news 😋
2238,@ Nipunvishnoi1 @ TwilightDew @ ANI chub ne kutte ki awlaad . tere baap ka nahi hai sale yah india . tu ja be Nepal ag … https // t . co / zrTNEjRqoE,0,@ Nipunvishnoi1 @ TwilightDew @ ANI chub ne kutte ki awlaad . tere baap ka nahi hai sale yah india . tu ja be Nepal ag … // t . co / zrTNEjRqoE
12581,@ ICC @ henrygayle @ nicholas _ 47 @ windiescricket Yh to @ henrygayle hai iske samne JCB ki kudai kuch kaam ka nhi hai,2,@ ICC @ henrygayle @ nicholas _ 47 @ windiescricket Yh to @ henrygayle hai iske samne JCB ki kudai kuch kaam ka nhi hai
16733,@ AmitShah @ sarbanandsonwal @ himantabiswa @ BJP4Assam Aap sabhi ko jeeth ki subhkamnaye aur apni desh Bharth matha ko … https // t . co / VjOr1LrZt7,2,@ AmitShah @ sarbanandsonwal @ himantabiswa @ BJP4Assam Aap sabhi ko jeeth ki subhkamnaye aur apni desh Bharth matha ko … // t . co / VjOr1LrZt7
15335,@ dipstar _ riya @ sheetal _ shasha @ shashu _ suvi @ shasha303 Next show k liye done karte hain 👌,1,@ dipstar _ riya @ sheetal _ shasha @ shashu _ suvi @ shasha303 Next show k liye done karte hain 👌
21838,@ mbilalwahid @ AamirLiaquat @ PTVNewsOfficial Tou phir # AmirLiaquat sahab ko ye maloom nhi hoga warna wo haqooq ul i … https // t . co / 5I0VjqkR91,1,@ mbilalwahid @ AamirLiaquat @ PTVNewsOfficial Tou phir # AmirLiaquat sahab ko ye maloom nhi hoga warna wo haqooq ul i … // t . co / 5I0VjqkR91
28027,@ ashutosh83B Ye koi topi vopi ki ladai nahin thi do logo ka aapas ka jhagada tha jise aap kaise log hindu muslim ka … https // t co / K0czdYyCoL,1,@ ashutosh83B Ye koi topi vopi ki ladai nahin thi do logo ka aapas ka jhagada tha jise aap kaise log hindu muslim ka … // t co / K0czdYyCoL
3066,I WISH VERY HAPPY AND BLESSED # RAMADAN OR # RAMJAAN MONTH TO THE ALMOST MOST POWERFUL CELEBRITY TABU G OF BOLLYWOOD … https // t co / x0XhZjmXIz,2,I WISH VERY HAPPY AND BLESSED # RAMADAN OR # RAMJAAN MONTH TO THE ALMOST MOST POWERFUL CELEBRITY TABU G OF BOLLYWOOD … // t co / x0XhZjmXIz
39628,RT @ MayankJ12875811 I love you my mom and dad ❤️💙💙💙❤️❤️❤️❤️❤️❤️❤️💕💕❤️❤️❤️❤️❤️💕💕 Main apne maa papa se bahut pyar karta hoon https // t co /…,2,RT @ MayankJ12875811 I love you my mom and dad ❤️💙💙💙❤️❤️❤️❤️❤️❤️❤️💕💕❤️❤️❤️❤️❤️💕💕 Main apne maa papa se bahut pyar karta hoon // t co /…
23507,@ nonsains Job is k achi performance nhi deni jo mrzi krlo,1,@ nonsains Job is k achi performance nhi deni jo mrzi krlo
17377,Perfect answer to my friends who said hum humesha ache dost rhein gay 😪 # miss _ the _ school _ friends 😓 https // t . co / CzslbXFoWt,1,Perfect answer to my friends who said hum humesha ache dost rhein gay 😪 # miss _ the _ school _ friends 😓 // t . co / CzslbXFoWt
1892,RT @ kaaylaarosee date someone you can have fun at a grocery store with,1,RT @ kaaylaarosee date someone you can have fun at a grocery store with
9060,@ ansarraza16 Jabtak desh se kathmullo ko puri trah se sidha nhi kiya jyega RSS apna kaam krti rhegi aur govt apna k … https // t co / fVvfYGz0DJ,0,@ ansarraza16 Jabtak desh se kathmullo ko puri trah se sidha nhi kiya jyega RSS apna kaam krti rhegi aur govt apna k … // t co / fVvfYGz0DJ
37077,Congress Ko bhi Hindu hi PM Banate the Ye Mat Bhulo Koi Tweet karne se pahle Dimag ka ilaz kara lo https // t co / b8psfmpICz,0,Congress Ko bhi Hindu hi PM Banate the Ye Mat Bhulo Koi Tweet karne se pahle Dimag ka ilaz kara lo // t co / b8psfmpICz
15029,Crush 😍😘 Wo cuteness ki dukan ni factory h 😍😍,2,Crush 😍😘 Wo cuteness ki dukan ni factory h 😍😍
23861,@ zubair72886 @ iVeenaKhan Hahahaha suji hai khair galti teri bhi naa hai ganduon ki aulad gandu hi hogi https // t . co / VLKzjQRw30,0,@ zubair72886 @ iVeenaKhan Hahahaha suji hai khair galti teri bhi naa hai ganduon ki aulad gandu hi hogi // t . co / VLKzjQRw30
44694,@ shoaib100mph Insan ko bedar hone do Qayamat to door log cheekh k pykarengay k Ab is dunya ko phir Ali a . s k adalat ki zuroorat hai,1,@ shoaib100mph Insan ko bedar hone do Qayamat to door log cheekh k pykarengay k Ab is dunya ko phir Ali a . s k adalat ki zuroorat hai
24495,@ HamidAz85152130 @ ImranKhanPTI @ Aarsh _ Khan _ DXB @ ItxNiazi Everything is going to be better we will see inshallha 🍀💫✨,2,@ HamidAz85152130 @ ImranKhanPTI @ Aarsh _ Khan _ DXB @ ItxNiazi Everything is going to be better we will see inshallha 🍀💫✨
28812,RT @ Sukhdeepinsan56 # PledgeAgainstCorruption Sant doctor @ Gurmeetramrahim Singh Ji Insan vachn par Chalte uhu banking Sarkari Adhikaryoi N …,1,RT @ Sukhdeepinsan56 # PledgeAgainstCorruption Sant doctor @ Gurmeetramrahim Singh Ji Insan vachn par Chalte uhu banking Sarkari Adhikaryoi N …
28544,@ bonang _ m congratulations Queen Of Mzansi . You've Made us All Proud As South Africans . You Are Truly indeed the H … https // t . co / AcBJCjqYhn,2,@ bonang _ m congratulations Queen Of Mzansi . You've Made us All Proud As South Africans . You Are Truly indeed the H … // t . co / AcBJCjqYhn
8414,@ PandaJay @ nitin _ gadkari @ BJP4India Happy birthday @ nitin _ gadkari ji jio hajaro shall Jay panda fans Odisha,2,@ PandaJay @ nitin _ gadkari @ BJP4India Happy birthday @ nitin _ gadkari ji jio hajaro shall Jay panda fans Odisha
23687,@ Munnipti @ Sumeramushtaq19 youthio jhoot ki had hoti hai .. Dharnon mein nach nach kar tumhara zehni tawazun kharab … https // t . co / ICw0qVibRC,0,@ Munnipti @ Sumeramushtaq19 youthio jhoot ki had hoti hai .. Dharnon mein nach nach kar tumhara zehni tawazun kharab … // t . co / ICw0qVibRC
39591,'' baten khtam hi ni hoti '' to '' baat hi ni hoti '' wali journey is less hurting than when they ask you to leave for no reason .,1,'' baten khtam hi ni hoti '' to '' baat hi ni hoti '' wali journey is less hurting than when they ask you to leave for no reason .
23338,Hahahahaha nope get fucked I get to work tonight so no day off for meeeeeeeeeeeeee I'm this close to hanging my ha … https // t . co / 5P8HHtzjju,2,Hahahahaha nope get fucked I get to work tonight so no day off for meeeeeeeeeeeeee I'm this close to hanging my ha … // t . co / 5P8HHtzjju
9539,@ vigyan __ @ prankies Are sirf awwal in shriman ne to flirting ko kala ka darza dilaya h,0,@ vigyan __ @ prankies Are sirf awwal in shriman ne to flirting ko kala ka darza dilaya h
12817,@ drmadiwr @ RailwaySeva @ Gmwrly @ WesternRly Train 14707 Coach attended nahi hai . Toilet mai fan band hai . OBH staf … https // t . co / AGHh9LWnrA,1,@ drmadiwr @ RailwaySeva @ Gmwrly @ WesternRly Train 14707 Coach attended nahi hai . Toilet mai fan band hai . OBH staf … // t . co / AGHh9LWnrA
